time,hpv,uptake
0,67.29,0.110706932
30,69.08,0.112216884
120,48.74,0.110912835
150,49.26,0.112216884
180,50.46,0.110912835
210,52.63,0.108030199
270,59.45,0.108716541
300,64.09,0.109746054
330,69.29,0.107961565
360,74.16,0.109540151
420,82.29,0.108236102
450,85.62,0.109471517
480,87.89,0.11002059
510,89.63,0.109883322
570,91.31,0.112422787
600,91.32,0.111393274
630,90.99,0.113383665
660,90.59,0.114275909
750,88.5,0.115030885
780,87.84,0.114550446
810,87.27,0.115168154
900,86.56,0.117089911
930,86.64,0.116609472
960,87,0.116472203
990,87.6,0.116884008
1050,88.56,0.118531229
1080,88.99,0.117844887
1110,89.32,0.119560741
1140,89.71,0.120178449
1200,90.42,0.119972546
1230,90.53,0.120796156
1260,90.74,0.122374743
1290,90.8,0.122031572
1350,90.76,0.122443377
1380,90.95,0.123266987
1410,90.81,0.123061084
1440,90.54,0.123541524
1530,90.02,0.125737817
1560,89.97,0.125463281
1590,90.02,0.126355525
1680,90.05,0.12759094
1710,90.06,0.127728209
1740,90.11,0.127522306
1770,89.88,0.127179135
1830,89.86,0.127247769
1860,89.93,0.128277282
1890,89.97,0.129169526
1920,90.04,0.128208648
1980,89.89,0.129512697
2010,89.97,0.12889499
2040,89.95,0.129100892
2070,90.04,0.13136582
2130,90.17,0.131159918
2160,90.1,0.130748113
2190,90.16,0.130336307
2220,89.97,0.129512697
2310,89.6,0.13349348
2340,89.64,0.132875772
2370,89.81,0.132944406
2460,89.99,0.133905285
2490,90.02,0.133356211
2520,90.05,0.133356211
2550,90.03,0.134522992
2610,90.18,0.13431709
2640,90.29,0.134797529
2670,90.21,0.136856555
2700,90.16,0.136650652
2760,89.88,0.134797529
2790,90.01,0.135415237
2820,90.03,0.136032944
2850,90.07,0.137542896
2910,89.97,0.138572409
2940,90.01,0.138778312
2970,90.07,0.137680165
3000,90.01,0.136650652
3090,89.84,0.138160604
3120,89.98,0.139464653
3150,89.88,0.140082361
3240,89.9,0.140288264
3270,89.9,0.140837337
3300,89.76,0.140494166
3330,89.85,0.139190117
3390,89.8,0.140494166
3420,89.93,0.141798216
3450,89.78,0.141317776
3480,89.75,0.141798216
3540,89.83,0.142004118
3570,89.77,0.143170899
3600,89.36,0.140768703
3630,88.97,0.142827728
3720,87.96,0.141180508
3750,87.5,0.142278655
3780,86.74,0.142415923
3870,84.67,0.142553191
3900,83.74,0.143788607
3930,83.12,0.144200412
3960,82.56,0.14433768
4020,80.93,0.142004118
4050,80.1,0.143582704
4080,79.24,0.143033631
4110,78.46,0.142072752
4170,77.02,0.141935484
4200,76.35,0.142141386
4230,75.61,0.142759094
4260,74.93,0.142004118
4320,73.44,0.140837337
4350,72.69,0.14104324
4380,72.13,0.141180508
4410,71.39,0.140837337
4500,69.58,0.1405628
4530,69.13,0.139190117
4560,68.87,0.138984214
4650,68.31,0.13891558
4680,68.36,0.138435141
4710,68.32,0.138503775
4740,68.52,0.137611531
4800,68.64,0.136650652
4830,68.87,0.137611531
4860,69.03,0.137062457
4890,69.22,0.136032944
4950,69.55,0.136032944
4980,69.66,0.135277968
5010,69.93,0.133287577
5040,70.01,0.135346603
5100,70.19,0.133836651
5130,70.22,0.133562114
5160,70.24,0.133562114
5190,70.28,0.134179822
5280,70.15,0.133287577
5310,70.04,0.132875772
5340,69.98,0.134111187
5430,69.86,0.132258065
5460,69.91,0.131846259
5490,69.97,0.132807138
5520,70,0.13136582
5580,70,0.132052162
5610,69.94,0.131571723
5640,69.97,0.131228552
5670,69.95,0.130679478
5730,69.93,0.129581332
5760,69.98,0.131091283
5790,70,0.130267673
5820,69.95,0.130404942
5880,70.02,0.129169526
5910,70.01,0.129993137
5940,69.98,0.129993137
5970,70.05,0.129169526
6060,69.83,0.128620453
6090,69.82,0.12841455
6120,69.87,0.129100892
6210,69.97,0.127247769
6240,69.91,0.127796843
6270,69.82,0.12889499
6300,69.8,0.127179135
6360,69.94,0.127796843
6390,69.93,0.127728209
6420,69.88,0.127728209
6450,69.89,0.128208648
6510,70.05,0.127934111
6540,70.06,0.127316404
6570,70.07,0.123953329
6600,70.09,0.127659574
6660,69.88,0.127041867
6690,69.83,0.125188744
6720,69.82,0.126355525
6750,69.9,0.126835964
6840,70.07,0.124708305
6870,68.1,0.124845573
6900,66.93,0.125188744
6990,65.42,0.124365134
7020,65.3,0.124090597
7050,65.11,0.124090597
7080,64.92,0.121688401
7140,64.96,0.124639671
7170,64.93,0.123061084
7200,64.74,0.122786548
7230,64.48,0.123266987
7290,63.58,0.121962938
7320,63.15,0.121757035
7350,62.47,0.12216884
7380,61.84,0.121894303
7440,60.33,0.120933425
7470,59.51,0.120590254
7500,58.8,0.120796156
7530,58.07,0.119354839
7620,55.9,0.119972546
7650,55.12,0.118531229
7680,54.3,0.116952642
7770,52.17,0.117227179
7800,51.44,0.115168154
7830,50.9,0.114962251
7860,50.36,0.116334935
7920,49.53,0.114756349
7950,49.12,0.114001373
7980,48.88,0.111942347
8010,48.67,0.114001373
8070,48.31,0.113109128
8100,48.05,0.111942347
8130,47.91,0.111118737
8160,47.95,0.111599176
8220,48.09,0.11050103
8250,48.22,0.109746054
8280,48.38,0.109608785
8310,48.57,0.107687028
8400,49.02,0.106314345
8430,49.05,0.10624571
8460,49.2,0.106657515
8550,49.61,0.106863418
8580,49.71,0.106108442
8610,49.92,0.105490734
8640,49.98,0.105490734
8700,50.05,0.104941661
8730,50.09,0.104873027
8760,50.19,0.1054221
8790,50.26,0.104255319
8850,50.26,0.103363075
8880,50.26,0.103912148
8910,50.38,0.102333562
8940,50.36,0.103019904
9000,50.24,0.101098147
9030,50.13,0.101990391
9060,50.03,0.101372684
9090,50,0.10164722
9180,49.87,0.100480439
9210,49.9,0.101029513
9240,49.88,0.100205903
9330,49.68,0.097666438
9360,49.64,0.099931366
9390,49.76,0.099039121
9420,49.79,0.098490048
9480,49.83,0.09835278
9510,49.91,0.095881949
9540,49.9,0.09752917
9570,49.95,0.097185999
9630,49.82,0.096980096
9660,49.66,0.09622512
9690,49.78,0.097254633
9720,49.77,0.096293754
9810,49.75,0.095538778
9840,49.8,0.095538778
9870,49.91,0.095881949
9960,50.07,0.093136582
9990,50.03,0.095126973
10020,50.07,0.094921071
10110,50.03,0.0945779
10140,50,0.091695264
10170,50.13,0.093411119
10200,50.05,0.091695264
10260,49.58,0.092656143
10290,54.46,0.093617021
10320,54.8,0.091901167
10350,53.58,0.092587509
10410,51.05,0.09327385
10440,49.96,0.091901167
10470,48.66,0.092656143
10500,47.43,0.091763898
10590,44.13,0.091695264
10620,43.2,0.091557996
10650,42.25,0.091901167
10740,39.82,0.090185312
10770,39.18,0.090116678
10800,38.55,0.08949897
10830,37.93,0.089224434
10890,36.8,0.086341798
10920,36.26,0.086959506
10950,35.68,0.087645848
10980,35.12,0.085037749
11040,34.16,0.086616335
11070,33.68,0.085792725
11100,33.24,0.085861359
11130,32.77,0.086067261
11190,31.97,0.086135896
11220,31.6,0.084008236
11250,31.25,0.082635553
11280,30.89,0.082704187
11370,30.02,0.081743308
11400,29.77,0.081468771
11430,29.51,0.08160604
11520,28.97,0.079958819
11550,28.83,0.080370625
11580,28.71,0.078311599
11610,28.63,0.078517502
11670,28.51,0.077625257
11700,28.48,0.077144818
11730,28.48,0.077282086
11760,28.51,0.076664379
11820,28.56,0.075428964
11850,28.63,0.076252574
11880,28.68,0.074536719
11910,28.79,0.075017159
11970,28.99,0.074330817
12000,29.12,0.074330817
12030,29.22,0.074330817
12060,29.31,0.073575841
12150,29.68,0.072889499
12180,29.79,0.072958133
12210,29.86,0.072203157
12300,30.12,0.07110501
12330,30.22,0.071173644
12360,30.25,0.069389156
12390,30.31,0.070830474
12450,30.4,0.070487303
12480,30.41,0.069595058
12510,30.43,0.070350034
12540,30.41,0.070075498
12600,30.38,0.068222375
12630,30.32,0.068840082
12660,30.28,0.068565546
12690,30.28,0.068565546
12750,30.2,0.067947838
12780,30.14,0.068359643
12810,30.11,0.067536033
12840,30.08,0.068496911
12930,29.98,0.06733013
12960,29.87,0.06733013
12990,29.84,0.06650652
13080,29.85,0.064722032
13110,29.82,0.065820178
13140,29.81,0.065957447
13170,29.79,0.065957447
13230,29.77,0.066575154
13260,29.79,0.065751544
13290,29.78,0.063967056
13320,29.79,0.064104324
13380,29.76,0.063623885
13410,29.79,0.064722032
13440,29.8,0.0648593
13470,29.84,0.064241592
13530,29.84,0.064310226
13560,29.83,0.064241592
13590,29.87,0.064241592
13620,29.89,0.063555251
13710,30.16,0.063967056
13740,30.18,0.062663006
13770,30.2,0.062251201
13860,30.15,0.062937543
13890,30,0.063143445
13920,29.73,0.062525738
13950,29.42,0.062045299
14010,28.64,0.062457104
14040,28,0.062457104
14070,27.5,0.061290323
14100,27.07,0.060466712
14160,25.96,0.060809883
14190,25.49,0.061427591
14220,25.07,0.06026081
14250,24.64,0.060398078
14310,23.59,0.059643102
14340,23.19,0.059986273
14370,22.83,0.059849005
14400,22.3,0.059643102
14490,21.26,0.059162663
14520,20.78,0.058339053
14550,20.35,0.058888126
14640,19.19,0.05813315
14670,18.83,0.057858614
14700,18.55,0.056760467
14730,18.33,0.058339053
14790,17.64,0.05648593
14820,17.35,0.057858614
14850,17.11,0.056554564
14880,16.79,0.056691833
14940,16.24,0.055936857
14970,16.02,0.055936857
15000,15.73,0.05435827
15030,15.4,0.054564173
15090,14.94,0.053946465
15120,14.74,0.054632807
15150,14.48,0.054495539
15180,14.26,0.054289636
15270,13.66,0.053328758
15300,13.51,0.053328758
15330,13.41,0.053054221
15420,13.14,0.05271105
15450,13.07,0.052367879
15480,12.99,0.050789293
15510,12.93,0.051612903
15570,12.81,0.051407001
15600,12.75,0.050377488
15630,12.68,0.051338367
15660,12.63,0.051338367
15720,12.54,0.050377488
15750,12.5,0.050583391
15780,12.44,0.049828415
15810,12.4,0.04975978
15870,12.32,0.048524365
15900,12.28,0.048867536
15930,12.25,0.049416609
15960,12.21,0.047975292
16050,12.09,0.049828415
16080,12.06,0.047151682
16110,12,0.048387097
16200,11.9,0.048043926
16230,11.87,0.047083047
16260,11.85,0.048524365
16290,11.8,0.048249828
16350,11.72,0.047769389
16380,11.7,0.046533974
16410,11.67,0.046602608
16440,11.65,0.04646534
16500,11.57,0.047014413
16530,11.53,0.047220316
16560,11.51,0.046259437
16590,11.47,0.046396706
16680,11.43,0.046533974
16710,11.4,0.045573095
16740,11.35,0.045367193
16830,11.28,0.046259437
16860,11.25,0.044269046
16890,11.24,0.045847632
16920,11.2,0.04564173
16980,11.16,0.045367193
17010,11.12,0.044269046
17040,11.09,0.044063143
17070,11.05,0.04433768
17130,11.02,0.042827728
17160,10.99,0.043994509
17190,10.98,0.043582704
17220,10.97,0.04433768
17280,10.9,0.044131778
17310,10.88,0.043925875
17340,10.84,0.043102265
17370,10.82,0.042621826
17460,10.73,0.043582704
17490,10.7,0.042553191
17520,10.68,0.042759094
17610,10.62,0.043033631
17640,10.61,0.043033631
17670,10.59,0.041660947
17700,10.55,0.042415923
17760,10.51,0.041729581
17790,10.5,0.043308167
17820,10.47,0.042004118
17850,10.45,0.042278655
17910,10.4,0.042964997
17940,10.41,0.041798216
17970,10.39,0.042347289
18000,10.37,0.042553191
18060,10.34,0.041455045
18090,10.32,0.042210021
18120,10.29,0.042004118
18150,10.29,0.041317776
18240,10.25,0.03973919
18270,10.25,0.04138641
18300,10.23,0.04186685
18390,10.19,0.039945093
18420,10.16,0.040356898
18450,10.14,0.041729581
18480,10.13,0.040837337
18540,10.09,0.04138641
18570,10.09,0.04104324
18600,10.06,0.040082361
18630,10.04,0.040905971
18690,9.99,0.040837337
18720,10,0.039945093
18750,9.98,0.041455045
18780,9.98,0.0405628
18840,9.95,0.040631434
18870,9.94,0.040356898
18900,9.94,0.040905971
18930,9.94,0.039190117
19020,9.93,0.040425532
19050,9.89,0.040837337
19080,9.91,0.040425532
19170,9.84,0.040288264
19200,9.84,0.040013727
19230,9.83,0.040082361
19260,9.81,0.040768703
19320,9.78,0.040150995
19350,9.76,0.040494166
19380,9.74,0.03891558
19410,9.74,0.039190117
19470,9.71,0.039601922
19500,9.7,0.039876458
19530,9.7,0.03891558
19560,9.71,0.038641043
19620,9.67,0.040356898
19650,9.66,0.039533288
19680,9.65,0.039807824
19710,9.64,0.039533288
19800,9.62,0.040082361
19830,9.61,0.037405628
